file,width,height,pixels,gamma_max,denoise_h,processing_scale,runtime_s,original_brightness,original_contrast,original_entropy,original_sharpness,enhanced_brightness,delta_brightness,enhanced_contrast,delta_contrast,enhanced_entropy,delta_entropy,enhanced_sharpness,delta_sharpness
28.png,600,400,240000,6.0,13,1.0,0.5291595458984375,4.297133333333333,5.943217712840597,3.485475778579712,21.268062591552734,79.71691666666666,75.41978333333333,50.63654499298298,44.69332728014238,7.139111518859863,3.6536357402801514,12625.521484375,12604.253421783447
33.png,600,400,240000,5.724442892397443,13,1.0,0.6291697025299072,10.383929166666666,13.970521437237622,4.761617183685303,62.49467468261719,75.25729583333333,64.87336666666667,59.615587961713636,45.645066524476015,7.374579906463623,2.6129627227783203,4011.162841796875,3948.668167114258
35.png,600,400,240000,5.835683985923728,14,1.0,0.6423447132110596,13.391,10.437512187617635,5.095970630645752,78.09174346923828,88.09614583333334,74.70514583333333,55.552818201648414,45.11530601403078,7.570558547973633,2.474587917327881,4383.9833984375,4305.891654968262
36.png,600,400,240000,5.845901507263383,14,1.0,0.6586148738861084,12.803179166666666,10.574756059892476,5.071402549743652,76.65090942382812,94.2428625,81.43968333333333,54.05669505534068,43.4819389954482,7.589631080627441,2.518228530883789,4530.818359375,4454.167449951172
38.png,600,400,240000,6.0,13,1.0,0.6468424797058105,4.744533333333333,4.565056967394335,3.7164413928985596,34.59098434448242,64.3162625,59.57172916666666,45.01258063620762,40.44752366881329,7.10593318939209,3.3894917964935303,8074.048828125,8039.457843780518
39.png,600,400,240000,5.32409605756402,14,1.0,0.6255514621734619,27.999008333333332,17.97776262543805,5.508440971374512,63.26105880737305,108.2149125,80.21590416666666,52.430973353391124,34.45321072795308,7.516706466674805,2.008265495300293,2184.343017578125,2121.081958770752
40.png,600,400,240000,5.294429202874501,14,1.0,0.6366410255432129,28.646016666666668,18.609567990679476,5.567983627319336,70.9844741821289,110.2700875,81.62407083333333,52.06568878422408,33.4561207935446,7.512472629547119,1.9444890022277832,2331.262451171875,2260.277976989746
42.png,600,400,240000,5.909416645144423,14,1.0,0.6703288555145264,10.49905,10.115488903862564,4.513049602508545,38.279380798339844,88.9320625,78.4330125,61.33088710969996,51.215398205837396,7.528487682342529,3.0154380798339844,7740.33154296875,7702.05216217041
43.png,600,400,240000,5.310994637509187,14,1.0,0.6532392501831055,29.212304166666666,17.354980969186222,5.908027648925781,71.06883239746094,138.1402,108.92789583333332,53.862278565739615,36.50729759655339,7.553731441497803,1.6457037925720215,3157.28076171875,3086.211929321289
44.png,600,400,240000,5.308465741574764,14,1.0,0.6499509811401367,29.256458333333335,17.41953225902647,5.912674903869629,72.52225494384766,138.55840416666666,109.30194583333332,53.092424418366726,35.67289215934025,7.555924892425537,1.6432499885559082,3049.9541015625,2977.4318466186523
